,Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
139,Jordan,0.031,49.05165609584215,15508.0,8457923945.0,171.0,0.023,0.0,0.118,73.0,0.1,4797000,0
140,Kuwait,0.024,49.05165609584215,55181.0,37718011469.0,494.0,0.011,0.1,0.089,74.0,0.3,1906231,1
141,Lebanon,0.019,49.05165609584215,15354.0,17260364842.0,579.0,0.017,0.1,0.182,76.0,0.2,3235380,2
142,Oman,0.024,49.05165609584215,21896.0,19867880550.0,264.0,0.014,0.0,0.101,74.0,0.1,2192535,2
143,Qatar,0.019,49.05165609584215,34730.0,17759889598.0,652.0,0.011,0.0,0.119,78.0,0.2,593693,2
144,Saudi Arabia,0.027,49.05165609584215,8529.0,188441864875.0,398.0,0.019,0.0,0.119,74.0,0.1,20144584,1
145,Syrian Arab Republic,0.03,49.05165609584215,51048.0,19325894913.0,59.0,0.02,0.0,0.09,75.0,0.0,16371208,0
146,United Arab Emirates,0.017,49.05165609584215,8529.0,104337375343.0,752.0,0.01,0.2,0.097,75.0,0.5,3026352,1
147,"Yemen, Rep.",0.039,49.05165609584215,14639.0,9636342275.0,25.0,0.069,0.0,0.195,62.0,0.0,17522537,0
148,American Samoa,0.02,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.0,57522,2
149,Australia,0.013,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.5,0.093,82.0,0.4,19153000,2
150,Fiji,0.025,49.05165609584215,865.0,1684109743.0,80.0,0.021,0.0,0.084,70.0,0.1,811647,0
151,French Polynesia,0.02,49.05165609584215,631.0,3447543138.0,193.0,0.02,0.1,0.119,75.0,0.2,237267,2
152,Guam,0.022,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.2,0.119,78.0,0.2,155328,2
153,Kiribati,0.029,49.05165609584215,33.0,67512715.0,65.0,0.054,0.0,0.119,68.0,0.0,82788,0
154,Marshall Islands,0.02,49.05165609584215,77.0,110937729.0,466.0,0.034,0.0,0.119,68.0,0.0,52161,2
155,"Micronesia, Fed. Sts.",0.03,49.05165609584215,136.0,233226323.0,170.0,0.042,0.0,0.153,68.0,0.5,107430,0
156,New Caledonia,0.021,49.05165609584215,2299.0,2682347064.0,193.0,0.02,0.1,0.119,78.0,0.2,213230,2
157,New Zealand,0.015,49.05165609584215,32897.0,52011621745.0,1052.0,0.006,0.5,0.078,81.0,0.4,3857700,1
158,Papua New Guinea,0.035,49.05165609584215,2688.0,3521348155.0,26.0,0.058,0.0,0.175,61.0,0.0,5379226,0
159,Samoa,0.031,49.05165609584215,139.0,239698992.0,80.0,0.019,0.0,0.119,73.0,0.0,174614,0
160,Solomon Islands,0.036,49.05165609584215,165.0,435101217.0,48.0,0.028,0.0,0.146,64.0,0.0,412336,0
161,Tonga,0.028,49.05165609584215,121.0,188623258.0,92.0,0.015,0.0,0.113,73.0,0.0,97962,0
162,Vanuatu,0.032,49.05165609584215,81.0,272014693.0,52.0,0.02,0.0,0.099,69.0,0.0,185058,0
163,Antigua and Barbuda,0.02,49.05165609584215,345.0,787693391.0,408.0,0.014,0.1,0.122,76.0,0.3,77648,2
164,Argentina,0.019,49.05165609584215,8529.0,15493320082.0,710.0,0.018,0.1,0.111,78.0,0.2,36903067,2
165,Aruba,0.014,49.05165609584215,2233.0,1873452514.0,193.0,0.02,0.2,0.121,76.0,0.2,90858,2
166,"Bahamas, The",0.018,49.05165609584215,1668.0,6327552000.0,1107.0,0.013,0.1,0.06,75.0,0.1,297759,2
167,Barbados,0.013,49.05165609584215,1188.0,3119500000.0,602.0,0.015,0.0,0.102,75.0,0.1,267190,2
168,Belize,0.029,49.05165609584215,689.0,831750000.0,139.0,0.021,0.1,0.16,74.0,0.1,238586,0
169,Bermuda,0.014,49.05165609584215,495.0,3480219000.0,193.0,0.02,0.4,0.119,81.0,0.2,61833,2
170,Bolivia,0.031,49.05165609584215,10224.0,8397858185.0,60.0,0.057,0.0,0.119,65.0,0.1,8495271,0
171,Brazil,0.021,49.05165609584215,8529.0,15493320082.0,265.0,0.029,0.0,0.119,74.0,0.1,5971526,2
172,Canada,0.011,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.5,0.073,82.0,0.3,30769700,2
173,Cayman Islands,0.02,49.05165609584215,455.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.3,41685,2
174,Chile,0.017,49.05165609584215,58694.0,79328640264.0,390.0,0.009,0.2,0.148,80.0,0.2,15454402,1
175,Colombia,0.023,49.05165609584215,57924.0,99886577576.0,148.0,0.021,0.0,0.188,75.0,0.1,39897984,1
176,Costa Rica,0.02,49.05165609584215,5475.0,15946443103.0,287.0,0.011,0.1,0.119,80.0,0.1,3929588,2
177,Cuba,0.013,49.05165609584215,26039.0,30565200000.0,166.0,0.007,0.0,0.119,79.0,0.0,11138416,2
178,Curacao,0.02,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.5,133860,2
179,Dominica,0.02,49.05165609584215,103.0,324463833.0,231.0,0.014,0.1,0.117,75.0,0.0,69679,2
180,Dominican Republic,0.025,49.05165609584215,20117.0,23996656676.0,173.0,0.033,0.0,0.119,74.0,0.1,8663421,2
181,Ecuador,0.025,49.05165609584215,20942.0,18327386416.0,53.0,0.028,0.0,0.171,76.0,0.0,12533087,0
182,El Salvador,0.025,49.05165609584215,5743.0,13134100000.0,179.0,0.027,0.0,0.14,74.0,0.1,5958794,0
183,Greenland,0.016,49.05165609584215,532.0,1068024994.0,193.0,0.02,0.3,0.119,70.0,0.3,56200,2
184,Grenada,0.019,49.05165609584215,191.0,523256355.0,339.0,0.014,0.0,0.116,73.0,0.0,101620,2
185,Guatemala,0.037,49.05165609584215,9916.0,19290566570.0,96.0,0.04,0.0,0.209,71.0,0.1,11204183,0
186,Guyana,0.022,49.05165609584215,1610.0,712667925.0,56.0,0.039,0.1,0.173,67.0,0.1,744471,0
187,Haiti,0.031,49.05165609584215,1368.0,3664503846.0,26.0,0.075,0.0,0.119,59.0,0.0,8578234,0
188,Honduras,0.032,49.05165609584215,5031.0,7105529647.0,76.0,0.031,0.0,0.119,73.0,0.0,6235561,0
189,Jamaica,0.021,49.05165609584215,10319.0,9008629729.0,189.0,0.02,0.0,0.119,73.0,0.1,2589389,2
190,Mexico,0.024,49.05165609584215,8529.0,15493320082.0,328.0,0.022,0.1,0.169,77.0,0.1,5971526,2
